"R#","PLAYER","POS","TEAM","GP","MPG","FG%","FT%","3PM","PTS","TREB","AST","STL","BLK","TO","TOTAL"
"14","Isaiah Stewart","PF,C","DET","23","17.9","0.535  (2.40/4.40) good (i) 0.6289455800 (i)","0.667  (0.80/1.20) bavg (i) -0.4789944800 (i)","0.0 ngood (i) -1.6659744571 (i)","5.5 ngood (i) -1.0574288337 (i)","5.3  (i) 0.1186591577 (i)","0.7 bavg (i) -0.8969800108 (i)","0.5 bavg (i) -0.7029927188 (i)","0.9 good (i) 0.8894687949 (i)","0.7 good (i) -0.7999738320 (i)","-2.97"
"15","Theo Maledon","PG","OKL","21","22.8","0.397  (2.80/7.00) bavg (i) -0.8010859000 (i)","0.633  (0.60/0.90) bavg (i) -0.4861335000 (i)","1.4  (i) -0.1815484985 (i)","7.5 bavg (i) -0.7636986021 (i)","2.6 bavg (i) -0.9492732613 (i)","2.9  (i) 0.2638176502 (i)","1.0  (i) 0.4686618125 (i)","0.0 ngood (i) -1.1118359937 (i)","1.8  (i) 0.4571279040 (i)","-3.68"
"16","Isaac Okoro","SG,SF","CLE","21","34.0","0.401  (2.90/7.20) bavg (i) -0.7887901600 (i)","0.673  (1.40/2.10) bavg (i) -0.7427983900 (i)","0.8 bavg (i) -0.8970631692 (i)","8.0 bavg (i) -0.6902660442 (i)","2.3 ngood (i) -1.0679324190 (i)","1.9 bavg (i) -0.2638176502 (i)","1.1 good (i) 0.7029927188 (i)","0.4  (i) -0.2223671987 (i)","1.3  (i) -0.1142819760 (i)","-3.94"
"17","Tyrese Maxey","PG,SG","PHI","25","17.9","0.459  (3.80/8.20)  (i) -0.0093149500 (i)","0.857  (0.70/0.80)  (i) 0.1808552600 (i)","0.6 ngood (i) -1.0679323443 (i)","8.8 bavg (i) -0.5727739516 (i)","2.0 ngood (i) -1.1865915767 (i)","1.8 bavg (i) -0.3165811803 (i)","0.6 bavg (i) -0.4686618125 (i)","0.1 bavg (i) -0.8894687949 (i)","0.6 good (i) -0.9142558080 (i)","-4.10"
"18","Jaden McDaniels","PF","MIN","19","17.6","0.396  (2.00/5.10) bavg (i) -0.5887049900 (i)","0.362  (0.20/0.60) bavg (i) -0.8723206700 (i)","1.0 bavg (i) -0.6941560238 (i)","5.2 ngood (i) -1.1014883684 (i)","3.5 bavg (i) -0.5932957883 (i)","1.0 bavg (i) -0.7386894207 (i)","0.4 bavg (i) -0.9373236250 (i)","0.9 good (i) 0.8894687949 (i)","0.8 good (i) -0.6856918560 (i)","-4.47"
"19","Isaiah Joe","SG","PHI","13","15.4","0.396  (1.90/4.90) bavg (i) -0.5663491000 (i)","1.000  (0.40/0.40)  (i) 0.2291286600 (i)","1.5  (i) -0.1495105282 (i)","5.7 ngood (i) -1.0280558105 (i)","1.4 ngood (i) -1.4239098920 (i)","1.0 bavg (i) -0.7386894207 (i)","0.3 ngood (i) -1.1716545313 (i)","0.3 bavg (i) -0.4447343975 (i)","0.4 vgood (i) -1.1428197600 (i)","-5.01"
"20","Saddiq Bey","SF","DET","23","18.9","0.375  (2.50/6.60) ngood (i) -1.0313515200 (i)","0.788  (1.30/1.70)  (i) 0.0322955800 (i)","1.7  (i) 0.0533966172 (i)","7.9 bavg (i) -0.7049525558 (i)","3.1 bavg (i) -0.7515079986 (i)","0.7 bavg (i) -0.8969800108 (i)","0.4 bavg (i) -0.9373236250 (i)","0.0 ngood (i) -1.1118359937 (i)","0.7 good (i) -0.7999738320 (i)","-5.15"
"21","Aleksej Pokuševski","SF","OKL","17","17.6","0.247  (1.40/5.50) ngood (i) -2.1595785500 (i)","0.000  (0.00/0.00)  (i) -0.0679907000 (i)","0.6 ngood (i) -1.0786116677 (i)","3.3 ngood (i) -1.3805320884 (i)","3.5 bavg (i) -0.5932957883 (i)","1.2 bavg (i) -0.6331623606 (i)","0.5 bavg (i) -0.7029927188 (i)","1.1 good (i) 1.3342031924 (i)","1.3  (i) -0.1142819760 (i)","-5.25"
"22","Precious Achiuwa","SF,PF","MIA","25","15.2","0.589  (2.50/4.30) good (i) 1.0399212800 (i)","0.540  (1.40/2.50) ngood (i) -2.0410807900 (i)","0.0 ngood (i) -1.7086917508 (i)","6.4 bavg (i) -0.9252502295 (i)","4.1 bavg (i) -0.3559774730 (i)","0.7 bavg (i) -0.8969800108 (i)","0.4 bavg (i) -0.9373236250 (i)","0.6  (i) 0.2223671987 (i)","1.0 good (i) -0.4571279040 (i)","-5.49"
"23","Facundo Campazzo","PG","DEN","21","12.1","0.357  (1.10/3.20) bavg (i) -0.5969021500 (i)","0.765  (0.60/0.80)  (i) -0.0805689800 (i)","0.8 bavg (i) -0.8436665520 (i)","3.7 ngood (i) -1.3217860421 (i)","0.7 ngood (i) -1.7007812599 (i)","1.7 bavg (i) -0.3693447103 (i)","0.8  (i) 0.0000000000 (i)","0.1 bavg (i) -0.8894687949 (i)","0.7 good (i) -0.7999738320 (i)","-5.60"
