Pk,Tm,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPG,PPG,TRB/G,AST/G,WS,WS/48,BPM,VORP
39,NOP,Alen Smailagić,,14,139,59,27,13,0.5,0.231,0.842,9.9,4.2,1.9,0.9,0.2,0.081,-2.2,0
40,SAC,Justin James,Wyoming,43,280,102,39,21,0.414,0.273,0.393,6.5,2.4,0.9,0.5,0.1,0.013,-2.5,0
41,GSW,Eric Paschall,Villanova,83,2045,1057,344,156,0.494,0.301,0.762,24.6,12.7,4.1,1.9,2.9,0.068,-2.7,-0.4
42,PHI,Admiral Schofield,Tennessee,33,368,99,47,15,0.38,0.311,0.667,11.2,3,1.4,0.5,0.1,0.017,-5.5,-0.3
43,MIN,Jaylen Nowell,Washington,26,340,181,35,27,0.433,0.288,0.889,13.1,7,1.3,1,0.5,0.065,-2.4,0
44,MIA,Bol Bol,Oregon,19,152,57,28,8,0.477,0.4,0.75,8,3,1.5,0.4,0.1,0.018,-4.7,-0.1
45,DET,Isaiah Roby,Nebraska,21,372,154,86,23,0.53,0.31,0.719,17.7,7.3,4.1,1.1,0.9,0.112,-1.9,0
46,ORL,Talen Horton-Tucker,Iowa State,28,457,193,66,45,0.462,0.296,0.808,16.3,6.9,2.4,1.6,0.9,0.09,-0.9,0.1
47,SAC,Ignas Brazdeikis,Michigan,13,60,19,7,5,0.261,0.111,0.857,4.6,1.5,0.5,0.4,-0.1,-0.093,-8.5,-0.1
48,LAC,Terance Mann,Florida State,64,649,177,124,75,0.45,0.3,0.69,10.1,2.8,1.9,1.2,1.3,0.095,-2.3,-0.1
49,SAS,Quinndary Weatherspoon,Mississippi State,15,92,14,8,14,0.263,0.2,0.75,6.1,0.9,0.5,0.9,-0.2,-0.119,-9.2,-0.2
50,IND,Jarrell Brantley,College of Charleston,15,114,33,23,11,0.371,0.333,0.5,7.6,2.2,1.5,0.7,0,0.012,-4.1,-0.1
51,BOS,Tremont Waters,LSU,19,204,60,20,39,0.27,0.2,0.929,10.7,3.2,1.1,2.1,-0.4,-0.102,-7.5,-0.3
52,CHO,Jalen McDaniels,San Diego State,25,376,124,84,18,0.484,0.367,0.75,15,5,3.4,0.7,0.5,0.065,-4,-0.2
53,UTA,Justin Wright-Foreman,Hofstra,4,45,19,5,7,0.35,0.2,0.75,11.3,4.8,1.3,1.8,0,-0.008,-9,-0.1
54,PHI,Marial Shayok,Iowa State,4,28,11,7,1,0.25,0.333,0.75,7,2.8,1.8,0.3,-0.1,-0.13,-13,-0.1
55,NYK,Kyle Guy,Virginia,11,78,29,12,13,0.323,0.235,0.833,7.1,2.6,1.1,1.2,0.1,0.049,-2.7,0
56,LAC,Jaylen Hands,UCLA,,,,,,,,,,,,,,,,
57,NOP,Jordan Bone,Tennessee,24,249,68,28,26,0.378,0.286,,10.4,2.8,1.2,1.1,0.1,0.02,-5.9,-0.2
58,GSW,Miye Oni,Yale,29,252,57,52,10,0.345,0.359,0.714,8.7,2,1.8,0.3,0.3,0.062,-4.1,-0.1
59,TOR,Dewan Hernandez,Miami (FL),6,28,14,14,3,0.357,0.5,0.6,4.7,2.3,2.3,0.5,0,0.043,-9.6,-0.1
60,SAC,Vanja Marinković,,,,,,,,,,,,,,,,,
