Pk,Tm,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPG,PPG,TRB/G,AST/G,WS,WS/48,BPM,VORP
1,NOP,Zion Williamson,Duke,47,1413,1087,310,116,0.591,0.385,0.67,30.1,23.1,6.6,2.5,4.9,0.167,2.8,1.7
2,MEM,Ja Morant,Murray State,79,2425,1412,286,580,0.474,0.326,0.779,30.7,17.9,3.6,7.3,4.5,0.089,0.2,1.3
3,NYK,RJ Barrett,Duke,82,2609,1246,445,222,0.412,0.309,0.65,31.8,15.2,5.4,2.7,0.5,0.008,-3.6,-1.1
4,LAL,De'Andre Hunter,Virginia,81,2597,1088,383,152,0.434,0.358,0.802,32.1,13.4,4.7,1.9,2,0.037,-3.1,-0.7
5,CLE,Darius Garland,Vanderbilt,77,2402,1008,153,328,0.415,0.364,0.88,31.2,13.1,2,4.3,-0.8,-0.016,-4.6,-1.6
6,PHO,Jarrett Culver,Texas Tech,79,1845,710,292,125,0.413,0.294,0.493,23.4,9,3.7,1.6,0,0.001,-4.3,-1.1
7,CHI,Coby White,UNC,89,2476,1231,342,305,0.397,0.356,0.814,27.8,13.8,3.8,3.4,1.6,0.03,-3.2,-0.7
8,ATL,Jaxson Hayes,Texas,83,1312,554,327,65,0.666,0.25,0.65,15.8,6.7,3.9,0.8,4.5,0.163,-0.7,0.4
9,WAS,Rui Hachimura,Gonzaga,63,1878,848,375,118,0.463,0.307,0.803,29.8,13.5,6,1.9,2.3,0.059,-3.2,-0.6
10,ATL,Cam Reddish,Duke,78,2124,832,298,114,0.379,0.31,0.806,27.2,10.7,3.8,1.5,-0.1,-0.002,-4.2,-1.2
11,MIN,Cameron Johnson,UNC,81,1880,775,277,105,0.435,0.381,0.831,23.2,9.6,3.4,1.3,4,0.103,0.5,1.2
12,CHO,P.J. Washington,Kentucky,82,2450,978,473,196,0.445,0.362,0.677,29.9,11.9,5.8,2.4,2.8,0.056,-1.6,0.3
13,MIA,Tyler Herro,Kentucky,72,2083,1032,327,187,0.434,0.379,0.847,28.9,14.3,4.5,2.6,1.9,0.045,-1.9,0.1
14,BOS,Romeo Langford,Indiana,32,370,79,41,13,0.35,0.185,0.72,11.6,2.5,1.3,0.4,0.2,0.025,-4.9,-0.3
15,DET,Sekou Doumbouya,,62,1068,342,176,33,0.379,0.277,0.696,17.2,5.5,2.8,0.5,-0.5,-0.021,-6.9,-1.3
16,ORL,Chuma Okeke,Auburn,10,211,42,35,25,0.381,0.35,0.5,21.1,4.2,3.5,2.5,0.3,0.061,-1.4,0
17,BRK,Nickeil Alexander-Walker,Virginia Tech,68,1020,461,142,134,0.38,0.315,0.725,15,6.8,2.1,2,-0.1,-0.004,-3.9,-0.5
18,IND,Goga Bitadze,,66,593,227,135,26,0.489,0.185,0.733,9,3.4,2,0.4,1.1,0.089,-1.7,0
19,SAS,Luka Šamanić,,7,59,23,10,6,0.318,0.455,0.667,8.4,3.3,1.4,0.9,0,0.008,-3.9,0
20,BOS,Matisse Thybulle,Washington,88,1682,375,138,96,0.406,0.333,0.585,19.1,4.3,1.6,1.1,2.9,0.084,0.3,1
21,OKC,Brandon Clarke,Gonzaga,75,1782,926,444,109,0.579,0.327,0.722,23.8,12.3,5.9,1.5,5.9,0.16,2,1.8
22,BOS,Grant Williams,Tennessee,90,1446,361,244,86,0.428,0.315,0.654,16.1,4,2.7,1,2.1,0.07,-2.9,-0.3
23,UTA,Darius Bazley,,85,1874,627,428,79,0.393,0.316,0.719,22,7.4,5,0.9,0.7,0.019,-2.9,-0.4
24,PHI,Ty Jerome,Virginia,31,328,102,46,44,0.336,0.28,0.75,10.6,3.3,1.5,1.4,0,-0.003,-3.8,-0.2
25,POR,Nassir Little,UNC,57,674,217,129,24,0.444,0.296,0.679,11.8,3.8,2.3,0.4,0.9,0.062,-3,-0.2
26,CLE,Dylan Windler,Belmont,13,216,73,44,12,0.49,0.303,0.867,16.6,5.6,3.4,0.9,0.4,0.08,-0.5,0.1
27,BRK,Mfiondu Kabengele,Florida State,26,121,57,20,5,0.38,0.367,0.889,4.7,2.2,0.8,0.2,0.2,0.068,-3.9,-0.1
28,GSW,Jordan Poole,Michigan,72,1417,586,136,147,0.343,0.286,0.819,19.7,8.1,1.9,2,-0.9,-0.031,-6,-1.4
29,SAS,Keldon Johnson,Kentucky,42,1054,507,235,72,0.489,0.375,0.781,25.1,12.1,5.6,1.7,2.5,0.114,-0.5,0.4
30,MIL,Kevin Porter Jr.,USC,50,1162,498,162,109,0.442,0.335,0.723,23.2,10,3.2,2.2,0.3,0.012,-3.8,-0.5
31,BRK,Nicolas Claxton,Georgia,15,187,66,44,16,0.563,0.143,0.524,12.5,4.4,2.9,1.1,0.5,0.121,-0.6,0.1
32,PHO,KZ Okpala,Stanford,18,192,40,25,7,0.417,0.35,0.375,10.7,2.2,1.4,0.4,0,0.007,-6.2,-0.2
33,PHI,Carsen Edwards,Purdue,48,476,182,60,29,0.367,0.324,0.731,9.9,3.8,1.3,0.6,0.4,0.042,-4.4,-0.3
34,PHI,Bruno Fernando,Maryland,68,822,261,242,56,0.507,0.128,0.581,12.1,3.8,3.6,0.8,0.8,0.047,-4.3,-0.5
35,ATL,Didi Louzada,,,,,,,,,,,,,,,,,
36,CHO,Cody Martin,Nevada,65,1062,289,192,111,0.445,0.233,0.667,16.3,4.4,3,1.7,1.3,0.06,-1.9,0
37,DAL,Deividas Sirvydis,,4,5,0,0,1,0,0,,1.3,0,0,0.3,0,-0.345,-21.4,0
38,CHI,Daniel Gafford,Arkansas,65,931,341,180,36,0.694,,0.579,14.3,5.2,2.8,0.6,3.1,0.158,-0.7,0.3
