Pk,Tm,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPG,PPG,TRB/G,AST/G,WS,WS/48,BPM,VORP
46,POR,CJ Elleby,Washington State,10,84,36,12,3,0.52,0.267,0.667,8.4,3.6,1.2,0.3,0.2,0.13,-1.2,0
47,BOS,Yam Madar,,,,,,,,,,,,,,,,,
48,GSW,Nico Mannion,Arizona,6,36,9,8,12,0.231,0.222,0.25,6,1.5,1.3,2,0,-0.01,-4.7,0
49,PHI,Isaiah Joe,Arkansas,13,196,74,18,13,0.397,0.388,1,15.1,5.7,1.4,1,0.4,0.098,-2.1,0
50,ATL,Skylar Mays,LSU,6,15,2,2,1,0,0,1,2.5,0.3,0.3,0.2,-0.1,-0.23,-15.3,-0.1
51,GSW,Justinian Jessup,Boise State,,,,,,,,,,,,,,,,
52,SAC,Kenyon Martin Jr.,,7,69,23,19,4,0.37,0.25,0.4,9.9,3.3,2.7,0.6,0,-0.021,-6.5,-0.1
53,OKC,Cassius Winston,Michigan State,6,44,13,4,6,0.4,0.429,1,7.3,2.2,0.7,1,0.1,0.078,-4,0
54,IND,Cassius Stanley,Duke,8,23,9,3,0,0.286,0.5,0.8,2.9,1.1,0.4,0,0,0.042,-7.9,0
55,BRK,Jay Scrubb,John A. Logan College,,,,,,,,,,,,,,,,
56,CHO,Grant Riller,College of Charleston,,,,,,,,,,,,,,,,
57,LAC,Reggie Perry,Mississippi State,14,147,50,51,12,0.412,0.167,0.667,10.5,3.6,3.6,0.9,0.1,0.019,-6.8,-0.2
58,PHI,Paul Reed,DePaul,5,55,18,10,3,0.409,0,,11,3.6,2,0.6,-0.1,-0.046,-8.1,-0.1
59,TOR,Jalen Harris,Nevada,2,4,0,1,0,,,,2,0,0.5,0,0,-0.204,-21.2,0
60,NOP,Sam Merrill,Utah State University,9,55,14,10,10,0.4,0.5,1,6.1,1.6,1.1,1.1,0.2,0.146,0.3,0
