Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Ja Morant,"Oct 23, '19, MEM @ MIA",20,2,79,2425,526,1109,71,218,289,371,59,286,580,71,22,257,130,1412,0.474,0.326,0.779,30.7,17.9,3.6,7.3
2,Kendrick Nunn,"Oct 23, '19, MIA vs. MEM",24,2,84,2433,491,1105,166,478,101,119,30,238,262,75,18,148,179,1249,0.444,0.347,0.849,29,14.9,2.8,3.1
3,RJ Barrett,"Oct 23, '19, NYK @ SAS",19,2,82,2609,461,1118,90,291,234,360,82,445,222,73,22,175,186,1246,0.412,0.309,0.65,31.8,15.2,5.4,2.7
4,Coby White,"Oct 23, '19, CHI @ CHO",19,2,89,2476,445,1122,192,539,149,183,37,342,305,59,8,167,175,1231,0.397,0.356,0.814,27.8,13.8,3.8,3.4
5,De'Andre Hunter,"Oct 24, '19, ATL @ DET",22,2,81,2597,388,893,138,386,174,217,60,383,152,61,27,128,229,1088,0.434,0.358,0.802,32.1,13.4,4.7,1.9
6,Zion Williamson,"Jan 22, '20, NOP vs. SAS",19,2,47,1413,421,712,10,26,235,351,123,310,116,38,26,115,104,1087,0.591,0.385,0.67,30.1,23.1,6.6,2.5
7,Eric Paschall,"Oct 24, '19, GSW vs. LAC",23,2,83,2045,403,815,49,163,202,265,103,344,156,36,15,108,166,1057,0.494,0.301,0.762,24.6,12.7,4.1,1.9
8,Tyler Herro,"Oct 23, '19, MIA vs. MEM",20,2,72,2083,380,875,150,396,122,144,22,327,187,41,14,132,103,1032,0.434,0.379,0.847,28.9,14.3,4.5,2.6
9,Darius Garland,"Oct 23, '19, CLE @ ORL",20,2,77,2402,393,947,134,368,88,100,36,153,328,59,7,196,134,1008,0.415,0.364,0.88,31.2,13.1,2,4.3
10,P.J. Washington,"Oct 23, '19, CHO vs. CHI",21,2,82,2450,365,820,112,309,136,201,98,473,196,73,75,142,223,978,0.445,0.362,0.677,29.9,11.9,5.8,2.4
11,Brandon Clarke,"Oct 23, '19, MEM @ MIA",23,2,75,1782,395,682,32,98,104,144,122,444,109,53,61,66,126,926,0.579,0.327,0.722,23.8,12.3,5.9,1.5
12,Rui Hachimura,"Oct 23, '19, WAS @ DAL",21,2,63,1878,325,702,39,127,159,198,98,375,118,44,10,69,137,848,0.463,0.307,0.803,29.8,13.5,6,1.9
13,Cam Reddish,"Oct 24, '19, ATL @ DET",20,2,78,2124,287,758,108,348,150,186,51,298,114,86,32,124,185,832,0.379,0.31,0.806,27.2,10.7,3.8,1.5
14,Cameron Johnson,"Oct 26, '19, PHO vs. LAC",23,2,81,1880,272,625,162,425,69,83,66,277,105,52,27,52,120,775,0.435,0.381,0.831,23.2,9.6,3.4,1.3
15,Michael Porter,"Oct 31, '19, DEN @ NOP",21,2,69,1273,272,534,96,224,81,98,84,348,60,43,40,64,129,721,0.509,0.429,0.827,18.4,10.4,5,0.9
16,Jarrett Culver,"Oct 23, '19, MIN @ BRK",20,2,79,1845,281,680,74,252,74,150,95,292,125,68,44,102,163,710,0.413,0.294,0.493,23.4,9,3.7,1.6
17,Terence Davis,"Oct 22, '19, TOR vs. NOP",22,2,92,1494,252,555,121,310,60,69,56,272,132,50,17,95,161,685,0.454,0.39,0.87,16.2,7.4,3,1.4
18,Darius Bazley,"Oct 23, '19, OKC @ UTA",19,2,85,1874,231,588,83,263,82,114,44,428,79,33,59,90,82,627,0.393,0.316,0.719,22,7.4,5,0.9
19,Jordan Poole,"Oct 24, '19, GSW vs. LAC",20,2,72,1417,193,563,87,304,113,138,11,136,147,38,12,82,108,586,0.343,0.286,0.819,19.7,8.1,1.9,2
20,Naz Reid,"Dec 8, '19, MIN @ LAL",20,2,53,1012,215,460,58,164,81,112,67,239,62,35,52,51,158,569,0.467,0.354,0.723,19.1,10.7,4.5,1.2
21,Jaxson Hayes,"Oct 28, '19, NOP vs. GSW",19,2,83,1312,207,311,1,4,139,214,120,327,65,32,62,66,196,554,0.666,0.25,0.65,15.8,6.7,3.9,0.8
22,Luguentz Dort,"Dec 6, '19, OKC vs. MIN",20,2,59,1488,181,448,72,227,79,101,40,158,59,52,10,52,156,513,0.404,0.317,0.782,25.2,8.7,2.7,1
23,Keldon Johnson,"Nov 22, '19, SAS @ PHI",20,2,42,1054,182,372,36,96,107,137,55,235,72,34,16,52,87,507,0.489,0.375,0.781,25.1,12.1,5.6,1.7
24,Kevin Porter,"Oct 23, '19, CLE @ ORL",19,1,50,1162,186,421,53,158,73,101,22,162,109,46,14,93,135,498,0.442,0.335,0.723,23.2,10,3.2,2.2
25,Nickeil Alexander-Walker,"Oct 22, '19, NOP @ TOR",21,2,68,1020,171,450,69,219,50,69,13,142,134,42,16,84,95,461,0.38,0.315,0.725,15,6.8,2.1,2
26,Nicolò Melli,"Oct 22, '19, NOP @ TOR",29,2,72,1177,143,350,74,227,58,78,40,207,93,40,24,52,140,418,0.409,0.326,0.744,16.3,5.8,2.9,1.3
27,Matisse Thybulle,"Oct 23, '19, PHI vs. BOS",22,2,88,1682,138,340,68,204,31,53,51,138,96,128,66,57,186,375,0.406,0.333,0.585,19.1,4.3,1.6,1.1
28,Grant Williams,"Oct 23, '19, BOS @ PHI",21,2,90,1446,131,306,46,146,53,81,82,244,86,39,46,70,225,361,0.428,0.315,0.654,16.1,4,2.7,1
29,Sekou Doumbouya,"Nov 23, '19, DET @ MIL",19,2,62,1068,128,338,38,137,48,69,35,176,33,30,10,51,117,342,0.379,0.277,0.696,17.2,5.5,2.8,0.5
30,Daniel Gafford,"Oct 26, '19, CHI vs. TOR",21,2,65,931,143,206,0,0,55,95,84,180,36,23,84,43,143,341,0.694,,0.579,14.3,5.2,2.8,0.6
31,Ky Bowman,"Oct 24, '19, GSW vs. LAC",22,1,45,1015,134,321,33,107,34,41,24,121,131,44,10,70,102,335,0.417,0.308,0.829,22.6,7.4,2.7,2.9
32,Jordan McLaughlin,"Nov 6, '19, MIN @ MEM",23,2,43,821,114,245,35,94,31,46,15,78,182,41,6,44,41,294,0.465,0.372,0.674,19.1,6.8,1.8,4.2
33,Cody Martin,"Oct 25, '19, CHO vs. MIN",24,2,65,1062,109,245,21,90,50,75,48,192,111,46,9,53,87,289,0.445,0.233,0.667,16.3,4.4,3,1.7
34,Bruno Fernando,"Oct 24, '19, ATL @ DET",21,2,68,822,110,217,5,39,36,62,79,242,56,20,18,54,119,261,0.507,0.128,0.581,12.1,3.8,3.6,0.8
35,Caleb Martin,"Oct 25, '19, CHO vs. MIN",24,2,41,680,87,203,35,87,31,46,29,102,52,32,14,31,57,240,0.429,0.402,0.674,16.6,5.9,2.5,1.3
36,Matt Thomas,"Oct 26, '19, TOR @ CHI",25,2,54,518,84,177,56,119,13,16,10,69,28,12,1,20,43,237,0.475,0.471,0.813,9.6,4.4,1.3,0.5
37,Javonte Green,"Oct 25, '19, BOS vs. TOR",26,2,62,688,87,176,14,51,40,61,39,130,34,36,9,31,56,228,0.494,0.275,0.656,11.1,3.7,2.1,0.5
38,Goga Bitadze,"Oct 26, '19, IND @ CLE",20,2,66,593,92,188,10,54,33,45,34,135,26,13,51,32,87,227,0.489,0.185,0.733,9,3.4,2,0.4
