Rk (score),Rk(PPG),Player,Age,MP,G,FG%,3P%,FT%,PPG,REB,AST,FG%z,3P%z,FT%z,PPGz,REBz,ASTz,eScore
1,2,Ja,20,31,67,0.477,0.335,0.776,17.8,3.9,7.3,0.21,0.02,0.3,2.34,0.39,4.71,7.97
2,1,Zion,19,27.8,24,0.583,0.429,0.64,22.5,6.3,2.1,1.46,0.99,-0.84,3.53,2.08,0.37,7.59
3,12,Clarke,23,22.4,58,0.618,0.359,0.759,12.1,5.9,1.4,1.87,0.27,0.16,0.9,1.8,-0.22,4.77
4,18,Keldon,20,17.7,17,0.596,0.591,0.795,9.1,3.4,0.9,1.61,2.67,0.46,0.14,0.04,-0.64,4.28
5,6,Rui,21,30.1,48,0.466,0.287,0.829,13.5,6.1,1.8,0.08,-0.48,0.74,1.25,1.94,0.12,3.65
6,7,Herro,20,27.4,55,0.428,0.389,0.87,13.5,4.1,2.2,-0.37,0.58,1.08,1.25,0.53,0.45,3.52
7,3,Nunn,24,29.3,67,0.439,0.35,0.85,15.3,2.7,3.3,-0.24,0.18,0.92,1.71,-0.45,1.37,3.47
8,5,,23,27.6,60,0.497,0.287,0.774,14,4.6,2.1,0.45,-0.48,0.28,1.38,0.88,0.37,2.88
9,16,,21,16.4,55,0.509,0.422,0.833,9.3,4.7,0.8,0.59,0.92,0.77,0.19,0.95,-0.72,2.7
10,9,,20,30.9,59,0.401,0.355,0.875,12.3,1.9,3.9,-0.69,0.23,1.12,0.95,-1.02,1.87,2.47
11,11,,21,30.3,58,0.455,0.374,0.647,12.2,5.4,2.1,-0.05,0.42,-0.78,0.92,1.44,0.37,2.33
12,8,,19,25.8,65,0.394,0.354,0.791,13.2,3.5,2.7,-0.77,0.22,0.42,1.17,0.11,0.87,2.02
13,10,,22,32,63,0.41,0.355,0.764,12.3,4.5,1.8,-0.58,0.23,0.2,0.95,0.81,0.12,1.72
14,33,,25,19,1,0.667,,1,6,7,0,2.45,-3.45,2.17,-0.65,2.57,-1.39,1.7
15,4,RJ,19,30.4,56,0.402,0.32,0.614,14.3,5,2.6,-0.68,-0.13,-1.05,1.45,1.16,0.79,1.54
16,23,,22,16.8,72,0.456,0.388,0.864,7.5,3.3,1.6,-0.04,0.57,1.03,-0.27,-0.03,-0.05,1.21
17,22,,23,19.7,30,0.489,0.382,0.667,7.6,1.6,4.2,0.35,0.51,-0.61,-0.24,-1.23,2.12,0.9
18,31,,24,17.6,18,0.44,0.541,0.81,6.2,2.1,1.3,-0.23,2.15,0.58,-0.6,-0.88,-0.3,0.73
19,20,,23,22,57,0.435,0.39,0.807,8.8,3.3,1.2,-0.29,0.59,0.56,0.06,-0.03,-0.38,0.5
20,25,Hayes,19,16.9,64,0.672,0.25,0.647,7.4,4,0.9,2.51,-0.86,-0.78,-0.3,0.46,-0.64,0.4
21,15,,19,23.2,50,0.442,0.335,0.723,10,3.2,2.2,-0.2,0.02,-0.14,0.36,-0.1,0.45,0.39
22,39,,22,18.3,16,0.471,0.375,0.824,5.6,4.1,0.8,0.14,0.43,0.7,-0.75,0.53,-0.72,0.33
23,36,Bol Bol,20,12.4,7,0.5,0.444,0.8,5.7,2.7,0.9,0.48,1.15,0.5,-0.73,-0.45,-0.64,0.31
24,24,,22,22.6,45,0.417,0.308,0.829,7.4,2.7,2.9,-0.5,-0.26,0.74,-0.3,-0.45,1.04,0.27
