Rk,Player,Debut,Age,FG,3P,FT,MPG,PPG,TRB,AST
55,Sam Merrill,"Dec 23, '20, MIL @ BOS",24,0.4,0.5,1,6.1,1.6,1.1,1.1
56,Tyler Bey,"Jan 13, '21, DAL @ CHO",22,0.4,,0.5,3.3,1.5,0.8,0
57,Nico Mannion,"Jan 4, '21, GSW vs. SAC",19,0.231,0.222,0.25,6,1.5,1.3,2
58,Nick Richards,"Dec 30, '20, CHO @ DAL",23,0.5,,0.833,2.9,1.4,0.8,0
59,Nate Hinton,"Jan 3, '21, DAL @ CHI",21,0.231,0.2,0.5,3.2,1.3,0,0
60,Markus Howard,"Dec 25, '20, DEN vs. LAC",21,0.24,0.167,,3.1,1.3,0.3,0.3
61,Jahmi'us Ramsey,"Dec 27, '20, SAC vs. PHO",19,0.5,0.333,,4,1.3,1,0.3
62,Karim Mané,"Dec 31, '20, ORL vs. PHI",20,0.111,0.5,1,9.3,1.2,1.7,0.2
63,Cassius Stanley,"Dec 26, '20, IND @ CHI",21,0.286,0.5,0.8,2.9,1.1,0.4,0
64,Udoka Azubuike,"Dec 23, '20, UTA @ POR",21,0.571,,0.667,4.1,1,1.1,0
65,Vernon Carey,"Dec 30, '20, CHO @ DAL",19,0.333,0,0.5,2,1,1,0.3
66,Trent Forrest,"Jan 5, '21, UTA @ BRK",22,,,1,4.5,1,0,0.5
67,Anthony Gill,"Dec 29, '20, WAS vs. CHI",28,0.3,0.143,0.75,6.5,1,1.9,0.3
68,Tyrell Terry,"Dec 25, '20, DAL @ LAL",20,0.313,0,0.333,5.1,1,0.5,0.5
69,Keljin Blevins,"Dec 23, '20, POR vs. UTA",25,0.111,0,,4.8,0.3,0,0.5
70,Naji Marshall,"Jan 15, '21, NOP @ LAL",23,0,0,0.5,2.7,0.3,0.7,0.3
71,Skylar Mays,"Dec 23, '20, ATL @ CHI",23,0,0,1,2.5,0.3,0.3,0.2
72,Ty-Shon Alexander,"Dec 27, '20, PHO @ SAC",22,0,0,,2.7,0,0.3,0.3
73,Ashton Hagans,"Jan 25, '21, MIN @ GSW",21,,,,2,0,0,0
74,Jalen Harris,"Jan 8, '21, TOR @ SAC",22,,,,2,0,0.5,0
75,Deividas Sirvydis,"Jan 6, '21, DET @ MIL",20,0,0,,1.3,0,0,0.3
