"","","","Round 1","","","Totals","","","","","Shooting","","","Per Game","","","","Advanced","","",""
"40","40","MEM","Robert Woodard","Mississippi State","1","6","17","13","8","0",".545",".333",".000","2.8","2.2","1.3","0.0","0.0",".015","-2.0","0.0"
"41","41","SAS","Tre Jones","Duke","1","9","27","18","4","1",".500","1.000","1.000","3.0","2.0","0.4","0.1","0.1",".151","-1.5","0.0"
"42","42","NOP","Nick Richards","Kentucky","1","8","23","11","6","0",".500","",".833","2.9","1.4","0.8","0.0","0.1",".144","-5.7","0.0"
"43","43","SAC","Jahmi'us Ramsey","Texas Tech","1","4","16","5","4","1",".500",".333","","4.0","1.3","1.0","0.3","0.0",".025","-3.9","0.0"
"44","44","CHI","Marko Simonovic","","","","","","","","","","","","","","","","","",""
"45","45","MIL","Jordan Nwora","Louisville","1","10","82","51","15","0",".459",".500",".900","8.2","5.1","1.5","0.0","0.0",".029","-5.4","-0.1"
"46","46","POR","CJ Elleby","Washington State","1","10","84","36","12","3",".520",".267",".667","8.4","3.6","1.2","0.3","0.2",".130","-1.2","0.0"
"47","47","BOS","Yam Madar","","","","","","","","","","","","","","","","","",""
"48","48","GSW","Nico Mannion","Arizona","1","6","36","9","8","12",".231",".222",".250","6.0","1.5","1.3","2.0","0.0","-.010","-4.7","0.0"
"49","49","PHI","Isaiah Joe","Arkansas","1","13","196","74","18","13",".397",".388","1.000","15.1","5.7","1.4","1.0","0.4",".098","-2.1","0.0"
"50","50","ATL","Skylar Mays","LSU","1","6","15","2","2","1",".000",".000","1.000","2.5","0.3","0.3","0.2","-0.1","-.230","-15.3","-0.1"
"51","51","GSW","Justinian Jessup","Boise State","","","","","","","","","","","","","","","","",""
"52","52","SAC","Kenyon Martin Jr.","","1","7","69","23","19","4",".370",".250",".400","9.9","3.3","2.7","0.6","0.0","-.021","-6.5","-0.1"
"53","53","OKC","Cassius Winston","Michigan State","1","6","44","13","4","6",".400",".429","1.000","7.3","2.2","0.7","1.0","0.1",".078","-4.0","0.0"
"54","54","IND","Cassius Stanley","Duke","1","8","23","9","3","0",".286",".500",".800","2.9","1.1","0.4","0.0","0.0",".042","-7.9","0.0"
"55","55","BRK","Jay Scrubb","John A. Logan College","","","","","","","","","","","","","","","","",""
"56","56","CHO","Grant Riller","College of Charleston","","","","","","","","","","","","","","","","",""
"57","57","LAC","Reggie Perry","Mississippi State","1","14","147","50","51","12",".412",".167",".667","10.5","3.6","3.6","0.9","0.1",".019","-6.8","-0.2"
"58","58","PHI","Paul Reed","DePaul","1","5","55","18","10","3",".409",".000","","11.0","3.6","2.0","0.6","-0.1","-.046","-8.1","-0.1"
"59","59","TOR","Jalen Harris","Nevada","1","2","4","0","1","0","","","","2.0","0.0","0.5","0.0","0.0","-.204","-21.2","0.0"
"60","60","NOP","Sam Merrill","Utah State University","1","9","55","14","10","10",".400",".500","1.000","6.1","1.6","1.1","1.1","0.2",".146","0.3","0.0"
